checked_at,canonical_company_id,company,rating,source_file,source_id,adapter,career_url,execution_status,jobs_found,last_run_at,error,next_due
2026-08-31T10:06:53.777047+00:00,julius-baer,Julius Baer,,job_sources_financial_services.csv,julius-baer-global,workday,https://juliusbaer.wd3.myworkdayjobs.com/External,error,0,2026-08-31T10:14:21.242357+00:00,Workday listing: HTTPError: 400 Client Error: Bad Request for url: https://juliusbaer.wd3.myworkdayjobs.com/wday/cxs/juliusbaer/External/jobs,
2026-08-31T10:06:53.777047+00:00,dnb,DNB Group,,job_sources_financial_services.csv,dnb-global,smartrecruiters,https://careers.smartrecruiters.com/DNB1,zero_jobs,0,2026-08-31T10:14:25.657768+00:00,,
2026-08-31T10:06:53.777047+00:00,standard-chartered,Standard Chartered,,job_sources_financial_services.csv,standard-chartered-global,successfactors,https://jobs.standardchartered.com/,error,0,2026-08-31T10:14:26.082111+00:00,https://jobs.standardchartered.com/job/Shanghai-Quantitative-Analyst/1362231157/: SourceTimeout,
2026-08-31T10:06:53.777047+00:00,munich-re,Munich Re Group,,job_sources_financial_services.csv,munich-re-global,generic,https://careers.munichre.com/en/munichre,success,4,2026-08-31T10:17:22.354957+00:00,,
2026-08-31T10:06:53.777047+00:00,csg,Czechoslovak Group,,job_sources_holdings.csv,csg-global,llm,https://czechoslovakgroup.com/en/career,zero_jobs,0,2026-08-31T10:17:54.924955+00:00,,
2026-08-31T10:06:53.777047+00:00,ppf-group,PPF Group,,job_sources_holdings.csv,ppf-group-global,generic,https://www.ppf.eu/en/careers,zero_jobs,0,2026-08-31T10:17:56.549586+00:00,,
2026-08-31T10:06:53.777047+00:00,rothschild-co,Rothschild & Co,,job_sources_investment_banking.csv,rothschild-co-global,generic,https://www.rothschildandco.com/en/careers/,zero_jobs,0,2026-08-31T10:18:08.652510+00:00,,
2026-08-31T10:06:53.777047+00:00,wood-company,WOOD & Company,,job_sources_investment_banking.csv,wood-company-global,generic,https://wood.cz/kariera/,zero_jobs,0,2026-08-31T10:18:36.458019+00:00,,
2026-08-31T10:06:53.777047+00:00,ninety-one,Ninety One,,job_sources_public_markets.csv,ninety-one-global,llm,https://externalcareers.ninetyone.com/experienced-hires/,zero_jobs,0,2026-08-31T10:18:38.622245+00:00,,
2026-08-31T10:06:53.777047+00:00,dws,DWS Group,,job_sources_public_markets.csv,dws-global,generic,https://www.dws.com/en-us/about-us/careers/,zero_jobs,0,2026-08-31T10:18:40.476599+00:00,,
2026-08-31T10:06:53.777047+00:00,point72,Point72,,job_sources_specialist_funds.csv,point72-global,generic,https://careers.point72.com/,zero_jobs,0,2026-08-31T10:18:41.650964+00:00,,
2026-08-31T10:06:53.777047+00:00,rsj,RSJ,,job_sources_specialist_funds.csv,rsj-global,generic,https://www.rsj.com/cz/investments/kariera.html,zero_jobs,0,2026-08-31T10:18:42.862536+00:00,,
2026-08-31T10:06:56.520689+00:00,oliver-wyman,Oliver Wyman,,job_sources_consulting.csv,oliver-wyman-global,phenom,https://careers.marsh.com/global/en/oliver-wyman,zero_jobs,0,2026-08-31T10:06:56.521102+00:00,,
2026-08-31T10:06:56.520689+00:00,grant-thornton,Grant Thornton,,job_sources_consulting.csv,grant-thornton-global,generic,https://www.grantthornton.global/en/careers/,zero_jobs,0,2026-08-31T10:06:57.870807+00:00,,
2026-08-31T10:06:56.520689+00:00,ibm-consulting,IBM Consulting,,job_sources_consulting.csv,ibm-consulting-global,generic,https://www.ibm.com/careers/search,zero_jobs,0,2026-08-31T10:07:11.550853+00:00,,
2026-08-31T10:06:56.520689+00:00,baringa,Baringa,,job_sources_consulting.csv,baringa-global,generic,https://www.baringa.com/en/careers/,error,0,2026-08-31T10:07:31.263847+00:00,https://www.baringa.com/en/careers/experienced/#jobs: ReadTimeout,
2026-08-31T10:06:56.520689+00:00,charles-river-associates,Charles River Associates,,job_sources_consulting.csv,charles-river-associates-global,generic,https://www.crai.com/careers/,zero_jobs,0,2026-08-31T10:08:07.350278+00:00,,
2026-08-31T10:06:56.520689+00:00,partners-group,Partners Group,,job_sources_pe.csv,partners-group-global,successfactors,https://jobs.partnersgroup.com/,success,20,2026-08-31T10:08:28.507696+00:00,,
